County,R,D,State,Year
Aitkin,0.624,0.36,MN,2020
Anoka,0.497,0.478,MN,2020
Becker,0.641,0.34,MN,2020
Beltrami,0.504,0.472,MN,2020
Benton,0.646,0.327,MN,2020
Big Stone,0.626,0.354,MN,2020
Blue Earth,0.508,0.464,MN,2020
Brown,0.653,0.325,MN,2020
Carlton,0.496,0.481,MN,2020
Carver,0.512,0.464,MN,2020
Cass,0.635,0.347,MN,2020
Chippewa,0.643,0.337,MN,2020
Chisago,0.634,0.342,MN,2020
Clay,0.507,0.467,MN,2020
Clearwater,0.716,0.268,MN,2020
Cook,0.656,0.316,MN,2020
Cottonwood,0.682,0.3,MN,2020
Crow Wing,0.639,0.342,MN,2020
Dakota,0.557,0.418,MN,2020
Dodge,0.639,0.335,MN,2020
Douglas,0.654,0.326,MN,2020
Faribault,0.656,0.32,MN,2020
Fillmore,0.601,0.375,MN,2020
Freeborn,0.569,0.41,MN,2020
Goodhue,0.561,0.412,MN,2020
Grant,0.621,0.356,MN,2020
Hennepin,0.705,0.272,MN,2020
Houston,0.554,0.424,MN,2020
Hubbard,0.633,0.344,MN,2020
Isanti,0.68,0.295,MN,2020
Itasca,0.574,0.406,MN,2020
Jackson,0.678,0.3,MN,2020
Kanabec,0.679,0.3,MN,2020
Kandiyohi,0.618,0.361,MN,2020
Kittson,0.586,0.381,MN,2020
Koochiching,0.597,0.384,MN,2020
Lac Qui Parle,0.626,0.358,MN,2020
Lake,0.506,0.471,MN,2020
Lake of the Woods,0.708,0.279,MN,2020
Le Sueur,0.641,0.337,MN,2020
Lincoln,0.681,0.301,MN,2020
Lyon,0.619,0.359,MN,2020
Mahnomen,0.496,0.483,MN,2020
Marshall,0.728,0.253,MN,2020
Martin,0.679,0.3,MN,2020
McLeod,0.668,0.306,MN,2020
Meeker,0.692,0.286,MN,2020
Mille Lacs,0.678,0.3,MN,2020
Morrison,0.758,0.223,MN,2020
Mower,0.518,0.46,MN,2020
Murray,0.687,0.296,MN,2020
Nicollet,0.503,0.472,MN,2020
Nobles,0.643,0.336,MN,2020
Norman,0.568,0.408,MN,2020
Olmsted,0.542,0.434,MN,2020
Otter Tail,0.654,0.329,MN,2020
Pennington,0.623,0.353,MN,2020
Pine,0.641,0.339,MN,2020
Pipestone,0.719,0.264,MN,2020
Polk,0.633,0.349,MN,2020
Pope,0.629,0.353,MN,2020
Ramsey,0.715,0.261,MN,2020
