Year,Period,labor force,employment,unemployment,unemployment rate,County
2014,Jan,6699,6049,650,9.7,"Aitkin County, MN"
2014,Feb,6688,6071,617,9.2,"Aitkin County, MN"
2014,Mar,6802,6153,649,9.5,"Aitkin County, MN"
2014,Apr,6756,6230,526,7.8,"Aitkin County, MN"
2014,May,6886,6458,428,6.2,"Aitkin County, MN"
2014,Jun,7003,6585,418,6.0,"Aitkin County, MN"
2014,Jul,6835,6436,399,5.8,"Aitkin County, MN"
2014,Aug,6816,6449,367,5.4,"Aitkin County, MN"
2014,Sep,6776,6446,330,4.9,"Aitkin County, MN"
2014,Oct,6739,6438,301,4.5,"Aitkin County, MN"
2014,Nov,6787,6384,403,5.9,"Aitkin County, MN"
2014,Dec,6723,6242,481,7.2,"Aitkin County, MN"
2015,Jan,6792,6167,625,9.2,"Aitkin County, MN"
2015,Feb,6768,6184,584,8.6,"Aitkin County, MN"
2015,Mar,6891,6283,608,8.8,"Aitkin County, MN"
2015,Apr,6872,6391,481,7.0,"Aitkin County, MN"
2015,May,6950,6552,398,5.7,"Aitkin County, MN"
2015,Jun,7051,6649,402,5.7,"Aitkin County, MN"
2015,Jul,6849,6478,371,5.4,"Aitkin County, MN"
2015,Aug,6787,6452,335,4.9,"Aitkin County, MN"
2015,Sep,6795,6489,306,4.5,"Aitkin County, MN"
2015,Oct,6898,6560,338,4.9,"Aitkin County, MN"
2015,Nov,6982,6499,483,6.9,"Aitkin County, MN"
2015,Dec,7076,6474,602,8.5,"Aitkin County, MN"
2016,Jan,6991,6342,649,9.3,"Aitkin County, MN"
2016,Feb,7047,6407,640,9.1,"Aitkin County, MN"
2016,Mar,7067,6371,696,9.8,"Aitkin County, MN"
2016,Apr,7042,6511,531,7.5,"Aitkin County, MN"
2016,May,7052,6665,387,5.5,"Aitkin County, MN"
2016,Jun,7086,6657,429,6.1,"Aitkin County, MN"
2016,Jul,7023,6620,403,5.7,"Aitkin County, MN"
2016,Aug,6952,6566,386,5.6,"Aitkin County, MN"
2016,Sep,6911,6556,355,5.1,"Aitkin County, MN"
2016,Oct,6976,6619,357,5.1,"Aitkin County, MN"
2016,Nov,7018,6555,463,6.6,"Aitkin County, MN"
2016,Dec,7124,6501,623,8.7,"Aitkin County, MN"
2017,Jan,7288,6587,701,9.6,"Aitkin County, MN"
2017,Feb,7305,6649,656,9.0,"Aitkin County, MN"
2017,Mar,7342,6692,650,8.9,"Aitkin County, MN"
2017,Apr,7158,6649,509,7.1,"Aitkin County, MN"
2017,May,7177,6812,365,5.1,"Aitkin County, MN"
2017,Jun,7257,6894,363,5.0,"Aitkin County, MN"
2017,Jul,7170,6844,326,4.5,"Aitkin County, MN"
2017,Aug,7106,6796,310,4.4,"Aitkin County, MN"
2017,Sep,7128,6855,273,3.8,"Aitkin County, MN"
2017,Oct,7122,6868,254,3.6,"Aitkin County, MN"
2017,Nov,7225,6773,452,6.3,"Aitkin County, MN"
2017,Dec,7249,6670,579,8.0,"Aitkin County, MN"
2018,Jan,7198,6548,650,9.0,"Aitkin County, MN"
2018,Feb,7205,6601,604,8.4,"Aitkin County, MN"
2018,Mar,7186,6598,588,8.2,"Aitkin County, MN"
2018,Apr,7179,6704,475,6.6,"Aitkin County, MN"
2018,May,7221,6910,311,4.3,"Aitkin County, MN"
2018,Jun,7333,7012,321,4.4,"Aitkin County, MN"
2018,Jul,7205,6907,298,4.1,"Aitkin County, MN"
2018,Aug,7070,6811,259,3.7,"Aitkin County, MN"
2018,Sep,7024,6804,220,3.1,"Aitkin County, MN"
2018,Oct,7180,6943,237,3.3,"Aitkin County, MN"
2018,Nov,7221,6800,421,5.8,"Aitkin County, MN"
2018,Dec,7352,6754,598,8.1,"Aitkin County, MN"
2019,Jan,7358,6616,742,10.1,"Aitkin County, MN"
2019,Feb,7283,6630,653,9.0,"Aitkin County, MN"
2019,Mar,7290,6662,628,8.6,"Aitkin County, MN"
2019,Apr,7216,6712,504,7.0,"Aitkin County, MN"
2019,May,7339,7000,339,4.6,"Aitkin County, MN"
2019,Jun,7488,7135,353,4.7,"Aitkin County, MN"
2019,Jul,7396,7041,355,4.8,"Aitkin County, MN"
2019,Aug,7254,6938,316,4.4,"Aitkin County, MN"
2019,Sep,7189,6942,247,3.4,"Aitkin County, MN"
2019,Oct,7266,6967,299,4.1,"Aitkin County, MN"
2019,Nov,7327,6906,421,5.7,"Aitkin County, MN"
2019,Dec,7436,6815,621,8.4,"Aitkin County, MN"
2020,Jan,7507,6800,707,9.4,"Aitkin County, MN"
2020,Feb,7441,6830,611,8.2,"Aitkin County, MN"
2020,Mar,7527,6798,729,9.7,"Aitkin County, MN"
2020,Apr,7049,6236,813,11.5,"Aitkin County, MN"
2020,May,7283,6361,922,12.7,"Aitkin County, MN"
2020,Jun,7724,7006,718,9.3,"Aitkin County, MN"
2020,Jul,7733,7137,596,7.7,"Aitkin County, MN"
2020,Aug,7780,7299,481,6.2,"Aitkin County, MN"
2020,Sep,7623,7200,423,5.5,"Aitkin County, MN"
2020,Oct,7617,7238,379,5.0,"Aitkin County, MN"
2020,Nov,7538,7095,443,5.9,"Aitkin County, MN"
2020,Dec,7316,6711,605,8.3,"Aitkin County, MN"
2021,Jan,7307,6654,653,8.9,"Aitkin County, MN"
2021,Feb,7342,6770,572,7.8,"Aitkin County, MN"
2021,Mar,7298,6756,542,7.4,"Aitkin County, MN"
